Edit			Neutral Text		Target Text
----------------------------------------------------------------------------
Smile			face			smiling face
Mouth open		face			face with mouth open
Pale			face			Pale face
Tanned			face			Tanned face
Makeup			face			Makeup face
Beard			face			face with beard
Gender			female face		male face
Mohawk hairstyle	face with hair		face with mohawk hairstyle
Bald			face with hair		face with bald
Bowlcut			face with hair		face with bowlcut
Bob-cut hairstyle	face with hair		face with bob-cut hairstyle
Afro hairstyle		face with hair		face with afro hairstyle
Blond hair		face with hair		face with blonde hair
wavy hair		face with hair		face with wavy hair
Curly short hair	face with hair		face with curly short hair
Curly long hair		face with hair		face with curly long hair
Straight short hair	face with hair		face with straight short hair
Straight long hair	face with hair		face with straight long hair
Hi-top fade		face with hair		face with hi-top fade hair
Undercut hair		face with hair		face with undercut hair
Fringe hair		face with hair		face with fringe hair
Red hair		face with hair		face with red hair
Blue eyes		face with eyes		face with blue eyes
Chubby			face			chubby
Emma Stone		face			Emma Stone
Earrings		face			face with earrings
Glasses			face			face with glasses
Wrinkle			face			face with wrinkle
Sad			face			face with sad
Angry			face			face with angry
Surprised		face			face with surprised
